BARRIO,GIS,Clientes,Dia
12 DE OCTUBRE,BARRIO 12 DE OCTUBRE,860,1
20 DE JULIO,BARRIO 20 DE JULIO,575,1
3 DE JULIO,BARRIO 3 DE JULIO,495,3
ACUEDUCTO SAN ANTONIO,BARRIO ACUEDUCTO SAN ANTONIO,3,2
AGUABLANCA,BARRIO AGUABLANCA,1344,7
ALAMEDA,BARRIO ALAMEDA,997,3
ALFEREZ REAL,BARRIO ALFEREZ REAL CAMILO TORRES,1679,4
ALFONSO BARBERENA A.,BARRIO ALFONSO BARBERENA,1195,1
ALFONSO BONILLA ARAGON,BARRIO ALFONSO BONILLA ARAGON,5657,13
ALFONSO LOPEZ 1 ETAPA,BARRIO ALFONSO LOPEZ ETAPA I,3127,13
ALIRIO MORA BELTRAN,BARRIO ALIRIO MORA BELTRAN,3371,10
ARANJUEZ,BARRIO ARANJUEZ,680,3
ARBOLEDAS,BARRIO ARBOLEDA,1186,2
ASTURIAS,BARRIO ASTURIAS,1135,1
ATANACIO GIRARDOT,BARRIO ATANASIO GIRADOT,1833,9
BARRIO AGUACATAL,BARRIO AGUACATAL,2626,7
BARRIO ALTO NAPOLES,BARRIO ALTO NAPOLES,2566,4
BARRIO ALTOS DE MENGA,BARRIO ALTOS DE MENGA,368,7
BARRIO ALTOS DE SANTA ISABEL LA MORELIA,BARRIO ALTOS DE SANTA ISABEL LA MORELIA,536,2
BARRIO ANTONIO NARI„O,BARRIO ANTONIO NARI_O,5088,5
BARRIO BELLAVISTA,BARRIO BELLAVISTA,1567,2
BARRIO BRETA„A,BARRIO BRETA_A,1763,3
BARRIO CA„AVERAL,BARRIO CA_AVERAL,329,4
BARRIO CA„AVERALES LOS SAMANES,BARRIO CA_AVERALES LOS SAMANES,3660,4
BARRIO CIUDAD CHIPICHAPE,BARRIO CIUDAD CHIPICHAPE,1060,7
BARRIO CIUDAD CORDOBA,BARRIO CIUDAD CORDOBA,7729,6
BARRIO CIUDADELA PASOANCHO,BARRIO CIUDADELA PASOANCHO,398,4
BARRIO CRISTOBAL COLON,BARRIO CRISTOBAL COLON,2914,9
BARRIO DEPARTAMENTAL,BARRIO DEPARTAMENTAL,1675,9
BARRIO EL BOSQUE,BARRIO EL BOSQUE,1032,7
BARRIO EL CANEY,BARRIO EL CANEY,7140,1
BARRIO EL GUABAL,BARRIO EL GUABAL,3658,9
BARRIO EL LIDO,BARRIO EL LIDO,1734,2
BARRIO EL MORICHAL,BARRIO EL MORICHAL,10310,6
BARRIO EL POBLADO I,BARRIO EL POBLADO I,3336,5
BARRIO FLORA INDUSTRIAL,BARRIO FLORA INDUSTRIAL,455,11
BARRIO GUAYAQUIL,BARRIO GUAYAQUIL,2240,3
BARRIO LA ALBORADA,BARRIO LA ALBORADA,808,1
BARRIO LA FLORESTA,BARRIO LA FLORESTA,1336,9
BARRIO LLERAS CAMARGO,BARRIO LLERAS CAMARGO,1634,2
BARRIO LOS CHORROS,BARRIO LOS CHORROS,1078,4
BARRIO MANZANARES,BARRIO MANZANARES,562,8
BARRIO MENGA,BARRIO MENGA,197,7
BARRIO MUNICIPAL,BARRIO MUNICIPAL,750,9
BARRIO PAMPA LINDA,BARRIO PAMPA LINDA,1331,4
BARRIO PARCELACIONES MONACO-LA SULTANA,BARRIO PARCELACIONES MONACO-LA SULTANA,227,2
BARRIO PUERTAS DEL SOL,BARRIO PUERTAS DEL SOL,1344,10
BARRIO SAN CAYETANO,BARRIO SAN CAYETANO,1363,2
BARRIO SAN JOAQUIN,BARRIO SAN JOAQUIN,959,3
BARRIO SAN LUIS II,BARRIO SAN LUIS II,3322,12
BARRIO SAN NICOLAS,BARRIO SAN NICOLAS,327,1
BARRIO SECTOR LAGUNA DEL PONDAJE,BARRIO SECTOR LAGUNA DEL PONDAJE,782,13
BARRIO SECTOR PATIO BONITO,BARRIO SECTOR PATIO BONITO,467,7
BARRIO SENA,BARRIO SENA,2247,8
BARRIO SILOE,BARRIO SILOE,1520,2
BARRIO SUCRE,BARRIO SUCRE,146,1
BARRIO VALLE GRANDE,BARRIO VALLE GRANDE,5882,12
BARRIO VILLA DEL PRADO EL GUABITO,BARRIO VILLA DEL PRADO EL GUABITO,5232,11
BARRIO VISTA HERMOSA,BARRIO VISTA HERMOSA,1401,7
BASE AEREA,BARRIO BASE AEREA,147,9
BELALCAZAR,BARRIO BELALCAZAR,959,3
BELEN,BARRIO BELEN,703,2
BELISARIO CAICEDO,BARRIO BELISARIO CAICEDO,893,2
BELLO HORIZONTE,BARRIO BELLO HORIZONTE,284,1
BENJAMIN HERRERA,BARRIO BENJAMIN HERRERA,836,9
BOLIVARIANO,BARRIO BOLIVARIANO,447,8
BOSQUE DEL LIMONAR,BARRIO BOSQUES DEL LIMONAR,1656,4
BRISAS DE LOS ALAMOS,BARRIO BRISAS DE LOS ALAMOS,4203,6
BRISAS DE MAYO,BARRIO BRISAS DE MAYO,1335,2
BRISAS DEL LIMONAR,BARRIO BRISAS DEL LIMONAR,481,1
BUENO MADRID,BARRIO BUENO MADRID,382,8
BUENOS AIRES,BARRIO BUENOS AIRES,826,4
CALDAS,BARRIO CALDAS,713,4
CALIMA,BARRIO CALIMA,1379,11
CALIMIO DESEPAZ,BARRIO CALIMIO DESEPAZ,4302,12
CALIPSO,BARRIO CALYPSO,1081,5
CAMINO REAL - JOAQUIN BORRERO,BARRIO CAMINO REAL - J. BORRERO S.,1072,4
CAMINO REAL LOS FUNDADORES,BARRIO CAMINO REAL FUNDADORES,1072,4
CA„AVERALEJO - SEGUROS PATRIA,BARRIO CA_AVERALEJO SEGUROS PATRIA,1171,4
CENTENARIO,BARRIO CENTENARIO,522,7
CHAMPAGNAT,BARRIO CHAMPAGNAT,778,3
CHAPINERO,BARRIO CHAPINERO,1521,9
CHARCO AZUL,BARRIO CHARCO AZUL,1051,13
CHIMINANGOS PRIMERA ETAPA,BARRIO CHIMINANGOS ETAPA I,1442,11
CHIMINANGOS SEGUNDA ETAPA,BARRIO CHIMINANGOS ETAPA II,3066,11
CIUDAD 2000,BARRIO CIUDAD 2000,3006,1
CIUDAD CAMPESTRE,BARRIO CIUDAD CAMPESTRE,741,3
CIUDAD CAPRI,BARRIO CIUDAD CAPRI,2116,4
CIUDAD LOS ALAMOS,BARRIO CIUDAD LOS ALAMOS,4000,6
CIUDAD UNIVERSITARIA,BARRIO CIUDAD UNIVERSITARIA,18,3
CIUDADELA COMFANDI,BARRIO CIUDADELA CONFANDI,1889,1
CIUDADELA DEL RIO,BARRIO CIUDADELA DEL RIO- CVC,2307,12
CIUDADELA FLORALIA,BARRIO CIUDADELA FLORALIA,8998,11
CLUB CAMPESTRE,BARRIO CLUB CAMPESTRE,63,3
COLINAS DEL SUR,BARRIO COLINAS DEL SUR,338,4
COLSEGUROS ANDES,BARRIO COLSEGUROS LOS ANDES,1994,9
COMPARTIR,BARRIO COMPARTIR,2543,12
COMUNEROS II,BARRIO COMUNEROS II,2972,5
CUARTELES NAPOLES,BARRIO CUARTELES NAPOLES,450,4
CUARTO DE LEGUA - GUADALUPE,BARRIO CUARTO DE LEGUA,1194,4
EDUARDO SANTOS,BARRIO EDUARDO SANTOS,718,1
EL CALVARIO,BARRIO EL CALVARIO,32,1
EL CEDRO,BARRIO EL CEDRO,750,3
EL CORTIJO,BARRIO EL CORTIJO,283,2
EL DIAMANTE,BARRIO EL DIAMANTE,2879,5
EL DORADO,BARRIO EL DORADO,1214,9
EL GRAN LIMONAR,BARRIO EL GRAN LIMONAR,778,4
EL GRAN LIMONAR - CATAYA,BARRIO GRAN LIMONAR - CATAYA,1038,4
EL HOYO,BARRIO EL HOYO,16,1
EL INGENIO,"BARRIO EL INGENIO I,II Y III",3374,3
EL JARDIN,BARRIO EL JARDIN,2664,7
EL JORDAN,BARRIO EL JORDAN,1770,4
EL LIMONAR,BARRIO EL LIMONAR,4033,4
EL MORTI„AL,BARRIO EL MORTINAL,219,2
EL NACIONAL,BARRIO EL NACIONAL,457,2
EL PARAISO,BARRIO EL PARAISO,802,1
EL PE„ON,BARRIO EL PE_ON,706,2
EL PILOTO,BARRIO EL PILOTO,111,1
EL POBLADO II,BARRIO EL POBLADO II,3933,5
EL PONDAJE,BARRIO EL PONDAJE,1004,13
EL PRADO,BARRIO EL PRADO,305,1
EL RECUERDO,BARRIO EL RECUERDO,446,7
EL REFUGIO,BARRIO EL REFUGIO,2591,4
EL REMANSO,BARRIO REMANSO DE COMFANDI,1331,12
EL RETIRO,BARRIO EL RETIRO,2024,6
EL RODEO,BARRIO EL RODEO,2846,1
EL TREBOL,BARRIO EL TREBOL,1082,7
EL TRONCAL,BARRIO EL TRONCAL,2582,9
EL VERGEL,BARRIO EL VERGEL,3946,5
EUCARISTICO,BARRIO EUCARISTICO,812,3
EVARISTO GARCIA,BARRIO EVARISTO GARCIA,786,8
FATIMA (CALI),BARRIO FATIMA,150,8
FENALCO KENNEDY,BARRIO FENALCO KENNEDY,312,1
FEPICOL,BARRIO FEPIC0L,639,9
FONAVIEMCALI,BARRIO FONAVIEMCALI,657,12
FRANCISCO ELADIO RAMIREZ,BARRIO FRANCISCO ELADIO RAMIREZ,1189,4
GRANADA,BARRIO GRANADA,1203,7
GUILLERMO VALENCIA,BARRIO GUILLERMO VALENCIA,733,8
HORIZONTES,BARRIO HORIZONTES,826,4
IGNACIO RENGIFO,BARRIO IGNACIO RENGIFO,555,8
INDUSTRIA DE LICORES,BARRIO INDUSTRIA DE LICORES,5,8
INDUSTRIAL,BARRIO INDUSTRIAL,763,9
INVICALI,BARRIO DESEPAZ INVICALI,3553,12
JORGE ELIECER GAITAN,BARRIO JORGE ELICER GAITAN,3494,12
JORGE ISAACS,BARRIO JORGE ISAACS,452,8
JORGE ZAWADSKY,BARRIO JORGE ZAWADSKY,950,9
JOSE HOLGUIN GARCES,BARRIO JOSE HOLGUIN GARCES,388,7
JOSE M. MARROQUIN I E.,BARRIO JOSE MANUEL MARROQUIN I,4962,13
JOSE M. MARROQUIN II E.,BARRIO JOSE MANUEL MARROQUIN II,3995,13
JOSE MARIA CORDOBA,BARRIO JOSE Ma. CORDOBA,268,7
JUANAMBU,BARRIO JUANAMBU,938,7
JULIO RINCON,BARRIO JULIO RINCON,427,1
JUNIN,BARRIO JUNIN,1306,3
LA ALIANZA,BARRIO ALIANZA,886,8
LA BASE,BARRIO LA BASE,1419,9
LA CAMPI„A,BARRIO LA CAMPI_A,314,7
LA CASCADA,BARRIO LA CASCADA,880,4
LA ESMERALDA,BARRIO LA ESMERALDA,570,8
LA ESPERANZA,BARRIO LA ESPERANZA,481,7
LA FLORA,BARRIO LA FLORA,1476,7
LA FORTALEZA,BARRIO LA FORTALEZA,1546,7
LA GRAN COLOMBIA,BARRIO LA GRAN COLOMBIA,551,7
LA HACIENDA,BARRIO LA HACIENDA,4092,4
LA INDEPENDENCIA,BARRIO LA INDEPENDENCIA,2027,7
LA ISLA,BARRIO LA ISLA,1286,8
LA LEGUA,BARRIO LA LEGUA,560,7
LA LIBERTAD,BARRIO LA LIBERTAD,655,9
LA MERCED,BARRIO LA MERCED,173,1
LA PAZ,BARRIO LA PAZ,232,7
LA PLAYA,BARRIO LA PLAYA,91,3
LA RIVERA I,BARRIO LA RIVERA I,1087,12
LA SELVA,BARRIO LA SELVA,1457,9
LAS ACACIAS,BARRIO LAS ACACIAS,514,9
LAS AMERICAS,BARRIO LAS AMERICAS,963,9
LAS CEIBAS,BARRIO LAS CEIBAS,2166,9
LAS DELICIAS (CALI),BARRIO LAS DELICIAS,1146,8
LAS GRANJAS,BARRIO LAS GRANJAS,1289,9
LAS ORQUIDEAS,BARRIO LAS ORQUIDEAS,2929,13
LAS QUINTAS DE DON SIMON,BARRIO QUINTAS DE DON SIMON,1770,4
LAUREANO GOMEZ,BARRIO LAUREANO GOMEZ,1961,6
LEON XIII,BARRIO LEON XIII,891,7
LLERAS - CINTA LARGA,BARRIO LLERAS CINTA LARGA,881,13
LLERAS RESTREPO,BARRIO LLERAS RESTREPO,357,13
LOS ALCAZARES,BARRIO ALCAZARES,3233,12
LOS ANDES,BARRIO LOS ANDES,2084,11
LOS ANDES B. - LA RIVIERA,BARRIO LOS ANDES-LA RIVIERA,1088,11
LOS CAMBULOS,BARRIO LOS CAMBULOS,1296,3
LOS COMUNEROS I ETAPA,BARRIO COMUNEROS I,3774,13
LOS CONQUISTADORES,BARRIO LOS CONQUISTADORES,757,7
LOS FARALLONES,BARRIO FARALLONES,345,4
LOS GUADUALES,BARRIO LOS GUADUALES,2958,11
LOS GUAYACANES,BARRIO GUAYACANES,3119,11
LOS LAGOS,BARRIO LOS LAGOS,2679,13
LOS LIBERTADORES,BARRIO LOS LIBERTADORES,914,2
LOS LIDERES,BARRIO LOS LIDERES,677,12
LOS NARANJOS I,BARRIO LOS NARANJOS I,716,10
LOS NARANJOS II,BARRIO LOS NARANJOS II,2098,10
LOS PARQUES - BARRANQUILLA,BARRIO LOS PARQUES,3048,11
LOS PINOS,BARRIO LOS PINOS,854,9
LOS PORTALES - NUEVO REY,BARRIO LOS PORTALES - NUEVO REY,947,4
LOS ROBLES,BARRIO LOS ROBLES,1328,5
LOS SAUCES - CIUDAD MODELO,BARRIO CIUDAD MODELO,1820,7
LOURDES,BARRIO LOURDES,879,4
MANUEL MARIA BUENAVENTURA,BARRIO MANUEL Ma. BUENAVENTURA,635,3
MANUELA BELTRAN,BARRIO MANUELA BELTRAN,6377,10
MARACAIBO,BARRIO MARACAIBO,269,7
MARCO FIDEL SUAREZ,BARRIO MARCO FIDEL SUAREZ,339,8
MARIANO RAMOS,BARRIO MARIANO RAMOS,5871,6
MARIO CORREA RENGIFO,BARRIO MARIO CORREA RENGIFO,867,4
MARROQUIN III,BARRIO MARROQUIN III,868,5
MAYAPAN - LAS VEGAS,BARRIO MAYAPAN LAS VEGAS,2008,4
MELENDEZ,BARRIO MELENDEZ,983,4
METROPOLITANO DEL NORTE,BARRIO METROPOLITANO DEL NORTE,2447,11
MIRAFLORES,BARRIO MIRAFLORES,1015,2
MOJICA,BARRIO MOJICA,5649,13
NAPOLES,BARRIO NAPOLES,737,4
NAVARRO - LA CHANCA,BARRIO NAVARRO- LA CHANCA,358,2
NORMANDIA,BARRIO NORMANDIA,1602,7
NUEVA FLORESTA,BARRIO NUEVA FLORESTA,5418,1
NUEVA TEQUENDAMA,BARRIO NUEVA TEQUENDAMA,1705,3
OBRERO,BARRIO OBRERO,676,1
OLAYA HERRERA,BARRIO OLAYA HERRERA,545,8
OLIMPICO,BARRIO OLIMPICO,924,9
OMAR TORRIJOS,BARRIO OMAR TORRIJOS,1193,5
PALERMO,BARRIO PALERMO,461,7
PANAMERICANO,BARRIO PANAMERICANO,1599,9
PARCELACIONES PANCE,BARRIO PARCELACIONES PANCE,3717,3
PARQUE DEL AMOR,BARRIO PARQUE DEL AMOR,2230,7
PASEO DE LOS ALMENDROS,BARRIO PASEO DE LOS ALMENDROS,1417,11
PASO DEL COMERCIO,BARRIO PASO DEL COMERCIO,2681,11
PASOANCHO,BARRIO PASOANCHO,702,9
PETECUY PRIMERA ETAPA,BARRIO PETECUY I,1879,12
PETECUY SEGUNDA ETAPA,BARRIO PETECUY ETAPA II,1651,12
PETECUY TERCERA ETAPA,BARRIO PETECUY III ETAPA,1344,12
PIZAMOS I,BARRIO PIZAMOS I,1065,12
PIZAMOS II,BARRIO PIZAMOS II,1923,12
PIZAMOS III,BARRIO PIZAMOS III,687,12
POLVORINES,BARRIO POLVORINES,2511,4
POPULAR,BARRIO POPULAR,198,8
PORVENIR,BARRIO PORVENIR,780,8
POTRERO GRANDE,BARRIO POTRERO GRANDE,3791,12
PRADOS DE ORIENTE,BARRIO PRADOS DE ORIENTE,1071,1
PRADOS DEL LIMONAR,BARRIO PRADOS DEL LIMONAR,922,4
PRADOS DEL NORTE,BARRIO PRADOS DEL NORTE,2746,6
PRADOS DEL SUR,BARRIO PRADOS DEL SUR,1705,4
PRIMAVERA,BARRIO PRIMAVERA,1422,7
PRIMERO DE MAYO,BARRIO PRIMERO DE MAYO,2155,4
PRIMITIVO CRESPO,BARRIO PRIMITIVO CRESPO,1189,9
PROMOCIONES POPULARES,BARRIO PROMOCIONES POPULARES,6492,10
PUEBLO JOVEN,BARRIO PUEBLO JOVEN,447,2
PUENTE DEL COMERCIO,BARRIO PUENTE DEL COMERCIO,2412,11
PUERTO MALLARINO,BARRIO PUERTO MALLARINO,676,13
REPUBLICA DE ISRAEL,BARRIO REPUBLICA DE ISRAEL,3883,6
RICARDO BALCAZAR,BARRIO RICARDO BALCAZAR,1330,13
RODRIGO LARA BONILLA,BARRIO RODRIGO LARA BONILLA,941,5
SAAVEDRA GALINDO,BARRIO SAAVEDRA GALINDO,980,9
SALOMIA,BARRIO SALOMIA,1369,8
SAN ANTONIO,BARRIO SAN ANTONIO,774,2
SAN BENITO,BARRIO SAN BENITO,678,7
SAN CARLOS,BARRIO SAN CARLOS,1778,7
SAN CRISTOBAL,BARRIO SAN CRISTOBAL,1164,9
SAN FERNANDO NUEVO,BARRIO NUEVO SAN FERNANDO,516,3
SAN FERNANDO VIEJO,BARRIO SAN FERNANDO VIEJO,1779,2
SAN JUAN BOSCO,BARRIO SAN JUAN BOSCO,143,1
SAN JUDAS TADEO I,BARRIO SAN JUDAS TADEO I,2150,9
SAN JUDAS TADEO II,BARRIO SAN JUDAS TADEO II,1585,9
SAN LUIS,BARRIO SAN LUIS,2919,12
SAN MARINO,BARRIO SAN MARINO,734,9
SAN PASCUAL,BARRIO SAN PASCUAL,53,1
SAN PEDRO,BARRIO SAN PEDRO,166,1
SAN PEDRO CLAVER,BARRIO SAN PEDRO CLAVER,887,7
SAN VICENTE,BARRIO SAN VICENTE,936,7
SANTA ANITA - LA SELVA,BARRIO SANTA ANITA - LA SELVA,2188,4
SANTA BARBARA,BARRIO SANTA BARBARA,134,2
SANTA ELENA,BARRIO SANTA ELENA,1925,9
SANTA FE,BARRIO SANTA FE,2140,9
SANTA ISABEL,BARRIO SANTA ISABEL,1586,2
SANTA MONICA,BARRIO SANTA MONICA,1012,7
SANTA MONICA BELALCAZAR,BARRIO SANTA MONICA BELALCAZAR,209,3
SANTA MONICA POPULAR,BARRIO SANTA MONICA POPULAR,1000,9
SANTA RITA,BARRIO SANTA RITA,433,7
SANTA ROSA,BARRIO SANTA ROSA,123,1
SANTA TERESITA,BARRIO SANTA TERESITA,1146,2
SANTANDER,BARRIO SANTANDER,440,8
SANTO DOMINGO,BARRIO SANTO DOMINGO,649,9
SECTOR ALTO DE LOS CHORROS,BARRIO ALTOS DE LOS CHORROS,2033,4
SECTOR ALTO JORDAN,BARRIO ALTO JORDAN,2679,4
SECTOR ASPROSOCIAL - DIAMANTE,BARRIO ASPROSOCIAL DIAMANTE,979,5
SECTOR BOSQUE MUNICIPAL,BARRIO SECTOR BOSQUE MUNICIPAL,8,2
SECTOR CA„AVERALEJO GUADALUPE,BARRIO CA_AVARALEJO GUADALUPE,1004,4
SECTOR MELENDEZ,BARRIO SECTOR MELENDEZ,903,4
SIETE DE AGOSTO,BARRIO SIETE DE AGOSTO,2978,13
SIMON BOLIVAR (CALI),BARRIO SIMON BOLIVAR,473,9
SINDICAL,BARRIO SINDICAL,1074,1
SULTANA - BERLIN-SAN FRANCISCO,BARRIO SULTANA BERLIN - SAN FRANCISCO,408,8
TALANGA,BARRIO CIUDAD TALANGA,3381,12
TEJARES - CRISTALES,BARRIO TEJARES LOS CRISTALES,496,2
TERRON COLORADO,BARRIO TERRON COLORADO,4784,7
TIERRA BLANCA,BARRIO TIERRA BLANCA,27,2
U. R. EL COLISEO,BARRIO UNIDAD RESIDENCIAL EL COLISEO,983,2
ULPIANO LLOREDA,BARRIO ULPIANO LLOREDA,1468,13
UNICENTRO CALI,BARRIO UNICENTRO CALI,1234,3
UNID. RES. SANTIAGO DE CALI,BARRIO UNIDAD RESIDENCIAL SANTIAGO DE CA,859,3
UNION VIVIENDA POPULAR,BARRIO UNION DE VIVIENDA POPULAR,4554,6
URB. EL ANGEL DEL HOGAR,BARRIO ANGEL DEL HOGAR,856,13
URBANIZACION  LILI,BARRIO URBANIZACION LILI,13181,1
URBANIZACION BOYACA,BARRIO BOYACA,511,7
URBANIZACION CALIMIO,BARRIO CALIMIO,2057,12
URBANIZACION CIUDAD JARDIN,BARRIO URBANIZACION CIUDAD JARDIN,1742,3
URBANIZACION COLSEGUROS,BARRIO URB. COLSEGUROS,1704,3
URBANIZACION LA MERCED,BARRIO URBANIZACION LA MERCED,1079,6
URBANIZACION LA NUEVA BASE,BARRIO URBANIZACION LA NUEVA BASE,2558,9
URBANIZACION MILITAR,BARRIO URB. MILITAR,285,3
URBANIZACION NUEVA GRANADA,BARRIO URBANIZACION NUEVA GRANADA,612,2
URBANIZACION RIO LILI,BARRIO URBANIZACION RIO LILI,1338,3
URBANIZACION TEQUENDAMA,BARRIO URB. TEQUENDAMA,546,3
URIBE URIBE,BARRIO URIBE URIBE,354,9
VALLADO,BARRIO EL VALLADO,3957,6
VENEZUELA,BARRIO VENEZUELA URB. CA_AVERALEJO,688,2
VERSALLES,BARRIO VERSALLES,506,7
VILLA COLOMBIA,BARRIO VILLA COLOMBIA,2681,9
VILLA DEL LAGO,BARRIO VILLA DEL LAGO,2577,13
VILLA DEL SOL (CALI),BARRIO VILLA DEL SOL,1479,11
VILLA DEL SUR,BARRIO VILLA DEL SUR,1597,7
VILLA MERCEDES,BARRIO VILLA MERCEDES,586,12
VILLABLANCA,BARRIO VILLABLANCA,925,13
VILLANUEVA,BARRIO VILLANUEVA,694,1
VIPASA,BARRIO VIPASA,2131,6
YIRA CASTRO,BARRIO YIRA CASTRO,830,5
